idCopro,libelleCopro,adresse,complement,codePostal,ville,referenceInterne
352,SDC Les Névés,99 rue monseigneur conseil,NULL,74120,Megève,1
385,SDC LE LADY,771 route de lady les Granges,NULL,74120,Megève,2
392,SDC LE PARC AUX BICHES,110 Allée des Gentianes,NULL,74120,PRAZ SUR ARLY,3
489,SDC L'OREE DES PISTES,244 Route de Varins,NULL,74120,Praz sur Arly,5
497,SDC Plaine Saint Michel,217 route d'Odier,NULL,74120,Megève,6
503,SDC LE MONT PACCARD,942 avenue du Mont Paccard,NULL,74170,Saint Gervais les bains,Perdue - 007
508,SDC LE JARDIN ALPIN,Les Retornes Route du petit bois,NULL,74120,Megève,8
531,SDC CHALET BELLECOTE,67 chemin des Bouleaux,NULL,74120,Megève,9
543,SDC LA CRISETTE,361 route des Varins,NULL,74120,PRAZ SUR ARLY,11
544,SDC CROIX DES PERCHETS,"59, 83 chemin de Fanou",NULL,74120,MEGEVE,10
545,SDC LA CONTAMINE,269 route d'Odier,NULL,74120,Megève,12
557,SDC LES PISTES D'OR 1,130 Allée des Gentianes,NULL,74120,PRAZ SUR ARLY,13
561,SDC LES ARAVIS,187 Route des Perchets,NULL,74120,MEGEVE,15
566,SDC ARBELLE,172 Allée des Cimes,NULL,74120,MEGEVE,14
570,SDC LA CHAUMIERE,113 Route de la Mairie,NULL,74920,COMBLOUX,17
573,SDC BELLEVARDE,37 Allée du Pré Joly,NULL,74120,PRAZ-SUR-ARLY,18
576,SDC SUNRISE,284 route de Warens,NULL,74120,MEGEVE,16
583,LE TETRAS LYRE,240 Allée du Mont-Blanc,NULL,74120,PRAZ SUR ARLY,19
608,LES VEES,1050 ROUTE DES GRABILLES,NULL,74120,PRAZ SUR ARLY,20
617,LA GRANDE CHAUMINE,321 Avenue du Mont Paccard,NULL,74170,SAINT GERVAIS LES BAINS,21
835,SDC LE YETI,254 Chemin des Annes,NULL,74120,Megève,22
875,ANGELON,70 rue d'Arly,NULL,74120,MEGEVE,23
1037,SDC LE GRAND R,3101 ROUTE DE NANT CRUY,NULL,74700,SALLANCHES,24
1071,SDC LE BEAU SOLEIL,670 ROUTE DU JAILLET,NULL,74120,MEGEVE,25
1351,LE FOGAL,769/811 ROUTE NATIONALE,NULL,74120,MEGEVE,26
1357,SDC LE PRE D'ANNA,207 route de bellevarde,NULL,74120,PRAZ SUR ARLY,28
1358,SDC LES CHOUCAS,297 route Edmond de Rothschild,NULL,74120,MEGEVE,27
1593,SDC Chalet Nakiska,Perdue - 51 Allée du Mont Blanc,NULL,74120,Praz sur Arly,29
1667,SDC LE CHAMOIS D'OR,"179, montée du Calvaire",NULL,74120,MEGEVE,30
1923,SDC Les Jardins de Nant Cruy,route des granges - Nant Cruy,NULL,74700,SALLANCHES,31
